	7						330			0				32002			19		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	7						330			0				32002			20		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	7						330			1				32386			19		0.0		0.0		0.0		0.59      0.44       0.94		0.5			4			1.0		

	8						330			0				32002			26		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	8						330			0				32002			27		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	8						330			0				32002			35		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	8						330			0				32002			36		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	8						330			0				32002			17		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	8						330			0				32002			18		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		

	9						330			0				32002			3		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	9						330			0				32002			4		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	9						330			0				32002			10		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	9						330			0				32002			11		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		

	10						330			0				32002			28		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	10						330			0				32002			37		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		

	11						330			0				32002			5		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		
	11						330			0				32002			12		0.0		0.0		0.0		0.59      0.44       0.94		1.2			-			0.0		

